avg_cell_voltage;charging_current;max_cell_voltage;min_cell_voltage;max_cell_temp;min_cell_temp;soc;timestamp;;
3.9;-200.6;3.9;3.9;31;29;48.5;46.2;;
3.9;-200.6;3.9;3.9;31;29;48.5;46.34;;
3.9;-200.6;3.9;3.9;31;29;48.5;46.48;;
3.9;-200.6;3.9;3.9;31;29;48.5;46.62;;
3.9;-200.6;3.9;3.9;31;29;48.5;46.76;;
3.9;-200.6;3.9;3.9;31;29;48.5;46.9;;
3.9;-200.6;3.9;3.9;31;29;48.5;47.04;;
3.9;-200.6;3.9;3.9;31;29;48.5;47.18;;
3.9;-200.7;3.9;3.9;31;29;48.5;47.32;;
3.9;-200.7;3.9;3.9;31;29;48.5;47.46;;
3.9;-200.7;3.9;3.9;31;29;48.5;47.6;;
3.9;-200.7;3.9;3.9;31;29;48.5;47.74;;
3.9;-199.7;3.9;3.9;31;29;48.5;47.88;;
3.9;-199.7;3.9;3.9;31;29;48.5;48.02;;
3.9;-199.7;3.9;3.9;31;29;48.5;48.16;;
3.9;-199.7;3.9;3.9;31;29;48.5;48.3;;
3.9;-199.7;3.9;3.9;31;29;48.5;48.44;;
3.9;-199.7;3.9;3.9;31;29;48.5;48.58;;
3.9;-199.7;3.9;3.9;31;29;48.5;48.72;;
3.9;-199.7;3.9;3.9;31;29;48.5;48.86;;
3.9;-200.5;3.9;3.9;31;29;48.5;49;;
3.9;-200.5;3.9;3.9;31;29;48.5;49.14;;
3.9;-200.5;3.9;3.9;31;29;48.5;49.28;;
3.9;-200.5;3.9;3.9;31;29;48.5;49.42;;
3.9;-200.5;3.9;3.9;32;29;48.5;49.56;;
3.9;-200.5;3.9;3.9;32;29;48.5;49.7;;
3.9;-200.5;3.9;3.9;32;29;48.5;49.84;;
3.9;-200.5;3.9;3.9;32;29;48.5;49.98;;
3.9;-200.6;3.9;3.9;32;29;48.5;50.12;;
3.9;-200.6;3.9;3.9;32;29;48.5;50.26;;
3.9;-200.6;3.9;3.9;32;29;48.5;50.4;;
3.9;-200.6;3.9;3.9;32;29;48.5;50.54;;
3.9;-200.8;3.9;3.9;32;29;48.5;50.68;;
3.9;-200.8;3.9;3.9;32;29;48.5;50.82;;
3.9;-200.8;3.9;3.9;32;29;48.5;50.96;;
3.9;-200.8;3.9;3.9;32;29;48.5;51.1;;
3.9;-200.8;3.9;3.9;32;29;48.5;51.24;;
3.9;-200.8;3.9;3.9;32;29;48.5;51.38;;
3.9;-200.8;3.9;3.9;32;29;48.5;51.52;;
3.9;-200.8;3.9;3.9;32;29;48.5;51.66;;
3.9;-200.7;3.9;3.9;32;29;48.5;51.8;;
3.9;-200.7;3.9;3.9;32;29;48.5;51.94;;
3.9;-200.7;3.9;3.9;32;29;48.5;52.08;;
3.9;-200.7;3.9;3.9;32;29;48.5;52.22;;
3.9;-199.5;3.9;3.9;32;29;48.5;52.36;;
3.9;-199.5;3.9;3.9;32;29;48.5;52.5;;
3.9;-199.5;3.9;3.9;32;29;48.5;52.64;;
3.9;-199.5;3.9;3.9;32;29;48.5;52.78;;
3.9;-199.6;3.9;3.9;32;29;48.5;52.92;;
3.9;-199.6;3.9;3.9;32;29;48.5;53.06;;
3.9;-199.6;3.9;3.9;32;29;48.5;53.2;;
3.9;-199.6;3.9;3.9;32;29;48.5;53.34;;
3.9;-201;3.9;3.9;32;29;48.5;53.48;;
3.9;-201;3.9;3.9;32;29;48.5;53.62;;
3.9;-201;3.9;3.9;32;29;48.5;53.76;;
3.9;-201;3.9;3.9;32;29;48.5;53.9;;
3.9;-200.7;3.9;3.9;32;29;48.5;54.04;;
3.9;-200.7;3.9;3.9;32;29;48.5;54.18;;
3.9;-200.7;3.9;3.9;32;29;48.5;54.32;;
3.9;-200.7;3.9;3.9;32;29;48.5;54.46;;
3.9;-200.5;3.9;3.9;32;29;48.5;54.6;;
3.9;-200.5;3.9;3.9;32;29;48.5;54.74;;
3.9;-200.5;3.9;3.9;32;29;48.5;54.88;;
3.9;-200.5;3.9;3.9;32;29;48.5;55.02;;
